key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,correct,response,participant,session,date,expName,psychopyVersion,OS,frameRate
space,20.89999986,"[""2"",""1"",""7""]","[2.4570000171661377,2.9140000343322754,3.9179999828338623,4.296000003814697]",1,217,,001,2019-09-04_10h42.52.893,Digit Span Task,3.1.5,Win32,60
,,"[""4"",""8"",""6""]","[1.8279998302459717,2.2219998836517334,2.68399977684021,3.0379998683929443]",1,486,,001,2019-09-04_10h42.52.893,Digit Span Task,3.1.5,Win32,60
