key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,correct,response,participant,session,date,expName,psychopyVersion,OS,frameRate
space,11.48800015,"[""2"",""1"",""7""]","[1.5800001621246338,1.696000099182129,1.8720002174377441,2.7039999961853027]",1,217,1,001,2019-10-03_14h09.35.697,Digit Span Task,3.1.5,MacIntel,60
,,"[""4"",""8"",""6""]","[1.4670000076293945,1.6110000610351562,2.7929999828338623,2.8489999771118164]",1,486,1,001,2019-10-03_14h09.35.697,Digit Span Task,3.1.5,MacIntel,60
