key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,Incorrect,response,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,condition_file,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,digitSpan,digits,participant,session,date,expName,psychopyVersion,OS,frameRate
space,7.710000038,"[""1"",""3"",""7""]","[5.365000009536743,6.28600001335144,6.89900016784668,8.424000024795532]",0,137,1,0,10,0,1,9,three.xlsx,1,0,3,0,1,2,3,217,,001,2020-04-16_22h54.16.642,Digit Span Task,3.1.5,Win32,60
,,"[""2"",""4"",""7""]","[1.813000202178955,2.3430001735687256,2.754000186920166,3.3370001316070557]",0,247,1,0,10,0,1,9,three.xlsx,1,0,3,1,1,2,3,486,,001,2020-04-16_22h54.16.642,Digit Span Task,3.1.5,Win32,60
