key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,Incorrect,response,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,condition_file,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,digitSpan,digits,participant,session,date,expName,psychopyVersion,OS,frameRate,correct
space,1.836000204,[],[11.842999935150146],0,,1,0,10,0,1,9,three.xlsx,1,0,3,0,1,2,3,217,aaa,001,2020-03-25_17h04.50.436,Digit Span Task,3.1.5,MacIntel,60,
,,"[""4"",""8"",""6""]","[1.1659998893737793,1.434000015258789,1.6529998779296875,2.0199999809265137,2.175999879837036,2.3449997901916504,2.503000020980835,3.0879998207092285,3.317999839782715,3.5189998149871826,3.751999855041504]",,486,1,0,10,0,1,9,three.xlsx,1,0,3,1,1,2,3,486,aaa,001,2020-03-25_17h04.50.436,Digit Span Task,3.1.5,MacIntel,60,1
,,"[""7"",""6"",""0""]","[0.7990000247955322,1.0189998149871826,1.2099997997283936,1.4240000247955322]",,760,1,0,10,0,1,9,three.xlsx,1,0,3,2,1,2,3,760,aaa,001,2020-03-25_17h04.50.436,Digit Span Task,3.1.5,MacIntel,60,1
