key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,correct,response,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,condition_file,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,digitSpan,digits,participant,session,date,expName,psychopyVersion,OS,frameRate,Incorrect
space,4.959000111,"[""2"",""1"",""7""]","[3.933000087738037,4.1020002365112305,4.3450000286102295,5.327000141143799]",1,217,1,0,10,0,1,9,three.xlsx,1,0,3,0,1,2,3,217,,001,2020-12-07_12h03.10.426,Digit Span Task,3.1.5,Win32,60,
,,"[""4"",""3"",""5""]","[0.8700001239776611,1.0829999446868896,1.2000000476837158,1.680999994277954]",,435,1,0,10,0,1,9,three.xlsx,1,0,3,1,1,2,3,486,,001,2020-12-07_12h03.10.426,Digit Span Task,3.1.5,Win32,60,0
,,"[""6"",""5"",""4""]","[1.2569999694824219,1.3929998874664307,1.5850000381469727,2.2119998931884766]",,654,1,0,10,0,1,9,three.xlsx,1,0,3,2,1,2,3,760,,001,2020-12-07_12h03.10.426,Digit Span Task,3.1.5,Win32,60,0
