key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,Incorrect,response,participant,session,date,expName,psychopyVersion,OS,frameRate,correct
space,0.75600028,"[""2"",""1"",""7"",""7""]","[0.8560001850128174,1.0560002326965332,1.7670001983642578,3.0240001678466797,3.824000120162964,4.192000150680542,4.585000276565552]",0,2177,,001,2019-07-26_16h26.53.786,Digit Span Task,3.1.5,Win32,60,
,,"[""4"",""8"",""6""]","[2.764000177383423,2.989000082015991,3.390000104904175,3.5480000972747803]",,486,,001,2019-07-26_16h26.53.786,Digit Span Task,3.1.5,Win32,60,1
,,"[""7"",""6"",""0""]","[1.7240002155303955,1.9880001544952393,2.2210001945495605,2.6040000915527344]",,760,,001,2019-07-26_16h26.53.786,Digit Span Task,3.1.5,Win32,60,1
