key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,Incorrect,response,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,condition_file,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,digitSpan,digits,participant,session,date,expName,psychopyVersion,OS,frameRate
space,2.127000093,[],[3.6629998683929443],0,,1,0,10,0,1,9,three.xlsx,1,0,3,0,1,2,3,217,,001,2020-04-29_20h57.09.226,Digit Span Task,3.1.5,Win32,60
,,[],[2.9170000553131104],0,,1,0,10,0,1,9,three.xlsx,1,0,3,1,1,2,3,486,,001,2020-04-29_20h57.09.226,Digit Span Task,3.1.5,Win32,60
