key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,correct,response,participant,session,date,expName,psychopyVersion,OS,frameRate
space,0.592000008,"[""2"",""1"",""7""]","[0.30499982833862305,0.5379998683929443,0.68399977684021,2.184999942779541]",1,217,,001,2019-07-26_16h32.41.975,Digit Span Task,3.1.5,Win32,60
,,"[""4"",""8"",""6""]","[0.5729999542236328,0.7029998302459717,0.8689999580383301,1.3539998531341553]",1,486,,001,2019-07-26_16h32.41.975,Digit Span Task,3.1.5,Win32,60
