key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,Incorrect,response,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,condition_file,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,digitSpan,digits,participant,session,date,expName,psychopyVersion,OS,frameRate,correct
space,2.042000055,"[""9"",""3"",""1""]","[2.438000202178955,2.930999994277954,3.203000068664551,4.267000198364258]",0,931,1,0,10,0,1,9,three.xlsx,1,0,3,0,1,2,3,217,01,001,2020-10-26_15h15.07.176,Digit Span Task,3.1.5,Win32,60,
,,"[""4"",""8"",""6""]","[1.4679999351501465,1.7189998626708984,2.736999988555908,3.4800000190734863]",,486,1,0,10,0,1,9,three.xlsx,1,0,3,1,1,2,3,486,01,001,2020-10-26_15h15.07.176,Digit Span Task,3.1.5,Win32,60,1
,,"[""7"",""8"",""0""]","[1.1689999103546143,1.369999885559082,1.753000020980835,2.6029999256134033,3.4609999656677246,3.7249999046325684,3.869999885559082,4.692999839782715,4.878000020980835,5.148999929428101]",0,780,1,0,10,0,1,9,three.xlsx,1,0,3,2,1,2,3,760,01,001,2020-10-26_15h15.07.176,Digit Span Task,3.1.5,Win32,60,
,,,,,,1,0,10,0,1,9,three.xlsx,,,,,,,,,01,001,2020-10-26_15h15.07.176,Digit Span Task,3.1.5,Win32,60,
,,"[""1"",""3"",""4"",""1""]","[1.1970000267028809,1.3510000705718994,1.556999921798706,1.7810001373291016,2.253000020980835]",0,1341,1,0,10,1,1,9,four.xlsx,1,0,3,0,1,2,4,3141,01,001,2020-10-26_15h15.07.176,Digit Span Task,3.1.5,Win32,60,
