key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,correct,response,participant,session,date,expName,psychopyVersion,OS,frameRate
space,6.32400012,"[""2"",""1"",""7""]","[1.4330003261566162,1.8060002326965332,2.5480000972747803,4.044000148773193]",1,217,fake,001,2019-08-15_22h42.56.420,Digit Span Task,3.1.5,Win32,60
,,"[""4"",""8"",""6""]","[1.4070000648498535,1.7839999198913574,1.9749999046325684,2.5969998836517334]",1,486,fake,001,2019-08-15_22h42.56.420,Digit Span Task,3.1.5,Win32,60
