key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,correct,response,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,condition_file,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,digitSpan,digits,participant,session,date,expName,psychopyVersion,OS,frameRate,Incorrect
space,2.621999979,"[""2"",""1"",""7""]","[0.9389998912811279,1.2089998722076416,1.932999849319458,2.6059999465942383]",1,217,1,0,10,0,1,9,three.xlsx,1,0,3,0,1,2,3,217,bob,001,2020-05-21_15h59.23.642,Digit Span Task,3.1.5,MacIntel,60,
,,"[""7"",""8"",""6""]","[1.2080001831054688,1.4520001411437988,2.44100022315979,3.1030001640319824]",,786,1,0,10,0,1,9,three.xlsx,1,0,3,1,1,2,3,486,bob,001,2020-05-21_15h59.23.642,Digit Span Task,3.1.5,MacIntel,60,0
