key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,Incorrect,response,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,condition_file,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,digitSpan,digits,participant,session,date,expName,psychopyVersion,OS,frameRate
space,14.76200008,[],[5.053999900817871],0,,1,0,10,0,1,9,three.xlsx,1,0,3,0,1,2,3,217,11,001,2020-12-16_17h15.27.178,Digit Span Task,3.1.5,MacIntel,60
,,[],[0.7730000019073486],0,,1,0,10,0,1,9,three.xlsx,1,0,3,1,1,2,3,486,11,001,2020-12-16_17h15.27.178,Digit Span Task,3.1.5,MacIntel,60
