key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,Incorrect,response,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,condition_file,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,digitSpan,digits,participant,session,date,expName,psychopyVersion,OS,frameRate,correct
space,7.865999937,"[""1"",""2"",""1"",""7""]","[3.1500000953674316,3.26200008392334,3.4159998893737793,3.5409998893737793,4.230000019073486]",0,1217,1,0,10,0,1,9,three.xlsx,1,0,3,0,1,2,3,217,,001,2020-06-22_13h52.22.695,Digit Span Task,3.1.5,Win32,60,
,,"[""4"",""8"",""6""]","[1.9579999446868896,2.357999801635742,2.484999895095825,3.0369999408721924]",,486,1,0,10,0,1,9,three.xlsx,1,0,3,1,1,2,3,486,,001,2020-06-22_13h52.22.695,Digit Span Task,3.1.5,Win32,60,1
,,"[""7"",""6"",""0""]","[1.5249998569488525,1.7790000438690186,2.5460000038146973,3.0190000534057617]",,760,1,0,10,0,1,9,three.xlsx,1,0,3,2,1,2,3,760,,001,2020-06-22_13h52.22.695,Digit Span Task,3.1.5,Win32,60,1
