key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,correct,response,participant,session,date,expName,psychopyVersion,OS,frameRate,Incorrect
space,1.670000076,"[""2"",""1"",""7""]","[2.929999828338623,3.0819997787475586,3.312999725341797,3.6449997425079346]",1,217,,001,2019-08-20_10h22.46.992,Digit Span Task,3.1.5,Win32,60,
,,"[""2"",""1"",""2"",""7""]","[0.7049999237060547,0.8199999332427979,1.1559998989105225,1.2909998893737793,2.4819998741149902]",,2127,,001,2019-08-20_10h22.46.992,Digit Span Task,3.1.5,Win32,60,0
,,"[""7"",""6"",""0""]","[1.8309998512268066,1.937999963760376,2.0929999351501465,2.24399995803833]",1,760,,001,2019-08-20_10h22.46.992,Digit Span Task,3.1.5,Win32,60,
,,,,,,,001,2019-08-20_10h22.46.992,Digit Span Task,3.1.5,Win32,60,
,,"[""3"",""1"",""4"",""1""]","[0.932999849319458,1.0379998683929443,1.4079999923706055,1.5479998588562012,2.8389999866485596]",1,3141,,001,2019-08-20_10h22.46.992,Digit Span Task,3.1.5,Win32,60,
