key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,Incorrect,response,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,condition_file,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,digitSpan,digits,participant,session,date,expName,psychopyVersion,OS,frameRate
space,26.29200006,"[""3"",""2"",""1"",""7"",""2""]","[1.7869999408721924,3.2829999923706055,3.4600000381469727,4.286999940872192,5.6529998779296875,5.824999809265137,6.075999975204468,7.059999942779541,8.723999977111816,9.476999998092651,9.83299994468689,10.56499981880188,16.25600004196167,16.674999952316284,19.35099983215332,20.674000024795532,20.92899990081787,21.348999977111816,22.478999853134155,22.72099995613098]",0,32172,1,0,10,0,1,9,three.xlsx,1,0,3,0,1,2,3,217,a,001,2020-04-09_18h37.23.770,Digit Span Task,3.1.5,Win32,60
,,"[""3"",""7"",""8"",""6""]","[1.316999912261963,2.7319998741149902,3.0149998664855957,3.9010000228881836,4.168999910354614]",0,3786,1,0,10,0,1,9,three.xlsx,1,0,3,1,1,2,3,486,a,001,2020-04-09_18h37.23.770,Digit Span Task,3.1.5,Win32,60
