key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,Incorrect,response,participant,session,date,expName,psychopyVersion,OS,frameRate
space,0.519999981,"[""2"",""1"",""1""]","[1.444000005722046,1.6670000553131104,1.8840000629425049,2.2009999752044678]",0,211,,001,2019-07-26_16h29.48.589,Digit Span Task,3.1.5,Win32,60
,,"[""2"",""1"",""2""]","[0.2999999523162842,0.4629998207092285,0.5899999141693115,1.0379998683929443]",0,212,,001,2019-07-26_16h29.48.589,Digit Span Task,3.1.5,Win32,60
