key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,Incorrect,response,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,condition_file,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,digitSpan,digits,participant,session,date,expName,psychopyVersion,OS,frameRate,correct
space,11.6329999,"[""2"",""1"",""7"",""2""]","[2.4760000705718994,2.991000175476074,4.370000123977661,10.190000057220459,13.02400016784668,13.409000158309937,13.692000150680542,13.928000211715698,14.142000198364258,14.339000225067139,14.52400016784668,14.707000017166138,14.92300009727478,15.09500002861023,15.278000116348267,15.456000089645386,15.645000219345093,16.242000102996826,16.443000078201294,16.599000215530396,16.77400016784668,16.94100022315979,17.106000185012817,17.276000022888184,17.460000038146973,17.612000226974487,17.79200005531311,17.96500015258789,18.14300012588501,18.31600022315979,18.966000080108643]",0,2172,1,0,10,0,1,9,three.xlsx,1,0,3,0,1,2,3,217,,001,2020-06-08_18h42.24.643,Digit Span Task,3.1.5,MacIntel,60,
,,"[""4"",""8"",""6""]","[1.6599998474121094,2.4679999351501465,2.7939999103546143,3.3409998416900635]",,486,1,0,10,0,1,9,three.xlsx,1,0,3,1,1,2,3,486,,001,2020-06-08_18h42.24.643,Digit Span Task,3.1.5,MacIntel,60,1
,,"[""7"",""6"",""0""]","[0.9699997901916504,1.1559998989105225,1.9549999237060547,2.250999927520752]",,760,1,0,10,0,1,9,three.xlsx,1,0,3,2,1,2,3,760,,001,2020-06-08_18h42.24.643,Digit Span Task,3.1.5,MacIntel,60,1
