key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,Incorrect,response,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,condition_file,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,digitSpan,digits,participant,session,date,expName,psychopyVersion,OS,frameRate,correct
space,10.21000004,[],[6.003999948501587],0,,1,0,10,0,1,9,three.xlsx,1,0,3,0,1,2,3,217,a,001,2020-06-10_16h45.38.826,Digit Span Task,3.1.5,MacIntel,60,
,,"[""4"",""8"",""6""]","[2.628999948501587,3.0260000228881836,4.078999996185303,4.848999977111816]",,486,1,0,10,0,1,9,three.xlsx,1,0,3,1,1,2,3,486,a,001,2020-06-10_16h45.38.826,Digit Span Task,3.1.5,MacIntel,60,1
,,"[""7"",""6"",""0""]","[2.5309998989105225,2.7119998931884766,3.051999807357788,3.6639997959136963]",,760,1,0,10,0,1,9,three.xlsx,1,0,3,2,1,2,3,760,a,001,2020-06-10_16h45.38.826,Digit Span Task,3.1.5,MacIntel,60,1
