key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,Incorrect,response,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,condition_file,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,digitSpan,digits,participant,session,date,expName,psychopyVersion,OS,frameRate,correct
space,1.106999874,"[""3"",""2"",""7""]","[0.5520000457763672,0.6419999599456787,0.7379999160766602,0.9509999752044678]",0,327,1,0,10,0,1,9,three.xlsx,1,0,3,0,1,2,3,217,567,001,2020-09-30_16h08.49.198,Digit Span Task,3.1.5,MacIntel,60,
,,"[""4"",""8"",""6""]","[0.7369999885559082,0.8930001258850098,1.0859999656677246,1.2869999408721924]",,486,1,0,10,0,1,9,three.xlsx,1,0,3,1,1,2,3,486,567,001,2020-09-30_16h08.49.198,Digit Span Task,3.1.5,MacIntel,60,1
,,"[""7"",""6"",""0""]","[0.93399977684021,1.2589998245239258,1.3599998950958252,1.5329997539520264]",,760,1,0,10,0,1,9,three.xlsx,1,0,3,2,1,2,3,760,567,001,2020-09-30_16h08.49.198,Digit Span Task,3.1.5,MacIntel,60,1
