key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,Incorrect,response,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,condition_file,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,digitSpan,digits,participant,session,date,expName,psychopyVersion,OS,frameRate
space,3.921000004,"[""1"",""2"",""3"",""7""]","[4.565000057220459,4.960000038146973,7.275000095367432,8.019000053405762,11.782000064849854]",0,1237,1,0,10,0,1,9,three.xlsx,1,0,3,0,1,2,3,217,A,001,2020-12-03_20h19.54.646,Digit Span Task,3.1.5,Win32,60
,,"[""4"",""8""]","[1.5520000457763672,2.430999994277954,3.1640000343322754]",0,48,1,0,10,0,1,9,three.xlsx,1,0,3,1,1,2,3,486,A,001,2020-12-03_20h19.54.646,Digit Span Task,3.1.5,Win32,60
